Row ID,Order ID,Customer ID,Product ID,Product Name,Order Date,Ship Date,Ship Mode,Category,Customer Name,Segment,Sales,Quantity,Profit
43,CA-2016-101343,RA-19885,OFF-ST-10003479,"Eldon Base for Stackable Storage Shelf, Platinum",17-Jul-16,22-Jul-16,Standard Class,Storage,Ruben Ausman,Corporate,77.88,2,3.894
514,CA-2017-163405,BN-11515,OFF-AR-10003811,NEWELL; 327,21-Dec-17,25-Dec-17,Standard Class,Art,Bradley Nguyen,Consumer,6.63,3,1.7901
514,CA-2017-163405,BN-11515,OFF-AR-10003811,NEWELL; 327,21-Dec-17,25-Dec-17,Standard Class,art,Bradley Nguyen,Consumer,6.63,3,1.7901
1606,US-2016-115819,JO-15280,OFF-AR-10000823,NEWELL; 327,19-Apr-16,24-Apr-16,Second Class,ArT,Jas O'Carroll,Consumer,555.46,,1.5288
1607,US-2016-115819,JO-15280,OFF-AR-10004456,Panasonic KP-4ABK. Battery-Operated Pencil Sharpener,19-Apr-16,24-Apr-16,Second Class,ART,Jas O'Carroll,Consumer,373.2,5,21.228
1609,US-2016-115819,JO-15280,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",19-Apr-16,24-Apr-16,Second Class,Paper,Jas O'Carroll,Consumer,22.72,4,10.224
1807,US-2016-116729,GK-14620,OFF-PA-10002005,XEROX 225,25-Dec-16,28-Dec-16,First Class,PAPER,Grace Kelly,Corporate,45.36,7,21.7728
2060,CA-2014-106439,GG-14650,OFF-FA-10002975,Staples,31-Oct-14,04-Nov-14,Standard Class,Fasteners,Greg Guthrie,Corporate,,3,5.2164
2061,CA-2014-106439,GG-14650,OFF-ST-10003996,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",31-Oct-14,04-Nov-14,Standard Class,Storage,Greg Guthrie,Corporate,80.3,5,20.878
2063,CA-2014-106439,GG-14650,OFF-PA-10000477,Xerox 1952,31-Oct-14,04-Nov-14,Standard Class,Paper,Greg Guthrie,Corporate,64.74,13,30.4278
2065,CA-2014-106439,GG-14650,OFF-ST-10001963,Tennsco Regal Shelving Units,31-Oct-14,04-Nov-14,Standard Class,Storage,Greg Guthrie,Corporate,405.64,4,12.1692
2068,CA-2014-106439,GG-14650,OFF-AR-10001419,Newell 325,31-Oct-14,04-Nov-14,Standard Class,Art,Greg Guthrie,Corporate,12.39,3,3.717
2191,CA-2016-118913,AS-10240,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,25-Jun-16,29-Jun-16,Standard Class,Appliances,Alan Shonely,Consumer,60.81,3,17.0268
2492,CA-2014-113579,KD-16345,OFF-PA-10001457,White GlueTop Scratch Pads,13-Dec-14,15-Dec-14,Second Class,Paper,Katherine Ducich,Consumer,90.24,6,41.5104
2944,CA-2017-126242,MC-18100,OFF-ST-10000675,"File Shuttle II and Handi-File, Black",19-Nov-17,24-Nov-17,Standard Class,Storage,Mick Crebagga,Consumer,305.01,,76.2525
3534,CA-2014-110849,JL-15835,OFF-AR-10002375,Newell 351,18-Apr-14,23-Apr-14,Standard Class,Art,John Lee,Consumer,13.12,4,3.8048
3535,CA-2014-110849,JL-15835,OFF-AR-10000657,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",18-Apr-14,23-Apr-14,Standard Class,Art,John Lee,Consumer,10.75,5,3.5475
3536,CA-2014-110849,JL-15835,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",18-Apr-14,23-Apr-14,Standard Class,Fasteners,John Lee,Consumer,11.62,2,3.6022
3565,CA-2016-130029,GT-14755,OFF-PA-10000552,Xerox 200,03-Jul-16,06-Jul-16,First Class,Paper,Guy Thornton,Consumer,12.96,2,6.2208
3566,CA-2016-130029,GT-14755,OFF-FA-10001135,"Brites Rubber Bands, 1 1/2 oz. Box",03-Jul-16,06-Jul-16,First Class,Fasteners,Guy Thornton,Consumer,3.96,2,0.0792
3759,CA-2015-167745,GB-14530,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",18-Sep-15,23-Sep-15,Standard Class,Art,George Bell,Corporate,,2,5.4896
